ticker,fiscal_year,period,statement_type,canonical_key,raw_label,value,unit,currency,source_type,source_uri,source_title,provider,confidence,validation_status
DBD,2025,2025FY,income_statement,revenue.net,Doanh thu thuan,1865.380,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,cogs.total,Gia von hang ban,-981.001,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,gross_profit.total,Loi nhuan gop,884.379,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,selling_expense.total,Chi phi ban hang,-418.308,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,admin_expense.total,Chi phi quan ly doanh nghiep,-139.794,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,ebit.total,Loi nhuan thuan tu hoat dong kinh doanh,349.128,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,profit_before_tax.total,Loi nhuan truoc thue,346.082,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,income_statement,net_income.parent,Loi nhuan sau thue co dong cong ty me,291.940,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,balance_sheet,cash_and_equivalents.ending,Tien va tuong duong tien cuoi ky,202.784,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,balance_sheet,short_term_investments.ending,Dau tu tai chinh ngan han,409.201,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,balance_sheet,short_term_debt.ending,Vay va no thue tai chinh ngan han,43.215,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,balance_sheet,long_term_debt.ending,Vay va no thue tai chinh dai han,132.000,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.95,accepted
DBD,2025,2025FY,balance_sheet,equity.parent,Von chu so huu cong ty me,1736.000,vnd_bn,VND,financial_statement,https://bidiphar.com/wp-content/uploads/2026/03/bao-cao-tai-chinh-hop-nhat-nam-2025-sau-kiem-toan-1774620839.pdf,BCTC hop nhat 2025 sau kiem toan,golden_csv,0.85,accepted
DBD,2025,2025FY,capital_structure,shares_outstanding.ending,So co phieu dang luu hanh,94400000,shares,VND,disclosure,https://bidiphar.com/bidiphar-dbd-to-chuc-thanh-cong-dhdcd-2026/,Tai lieu DHDCD 2026 Bidiphar,golden_csv,0.85,accepted
DBD,2025,2025FY,capital_structure,dividends_per_share.cash,Co tuc tien mat 2025 (20 phan tram),2000,vnd,VND,disclosure,https://bidiphar.com/bidiphar-dbd-to-chuc-thanh-cong-dhdcd-2026/,Tai lieu DHDCD 2026 Bidiphar,golden_csv,0.90,accepted
