ticker,fiscal_year,period_type,statement_type,metric_id,value,unit,document_title,page_number,table_name,extracted_text,extraction_method,verified_by,verified_at
DVN,2022,FY,balance_sheet,inventory.ending,1187.617,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,36,,Hàng tồn kho,pdf_table,,
DVN,2022,FY,balance_sheet,current_assets.ending,34211.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,36,,Tài sản ngắn hạn khác,pdf_table,,
DVN,2022,FY,balance_sheet,fixed_assets.ending,319952.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,36,,Tài sản cố định,pdf_table,,
DVN,2022,FY,balance_sheet,cash_and_equivalents.ending,83454.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,36,,"Tiền và các khoản tương đương
tiền",pdf_table,,
DVN,2022,FY,balance_sheet,accounts_receivable.ending,1826.739,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,36,,Các khoản phải thu ngắn hạn,pdf_table,,
DVN,2022,FY,income_statement,cash_and_equivalents.ending,110.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,44,,I. Tiền và các khoản tương đương tiền,pdf_table,,
DVN,2022,FY,income_statement,accounts_receivable.ending,130.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,44,,III. Các khoản phải thu ngắn hạn,pdf_table,,
DVN,2022,FY,income_statement,inventory.ending,140.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,44,,IV. Hàng tồn kho,pdf_table,,
DVN,2022,FY,income_statement,current_assets.ending,150.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,44,,V. Tài sản ngắn hạn khác,pdf_table,,
DVN,2022,FY,balance_sheet,total_assets.ending,270.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,45,,TỔNG CỘNG TÀI SẢN,pdf_table,,
DVN,2022,FY,balance_sheet,total_liabilities.ending,300.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,45,,C. NỢ PHẢI TRẢ,pdf_table,,
DVN,2022,FY,balance_sheet,short_term_debt.ending,320.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,45,,8. Vay ngắn hạn,pdf_table,,
DVN,2022,FY,balance_sheet,long_term_debt.ending,338.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,45,,4. Vay dài hạn,pdf_table,,
DVN,2022,FY,balance_sheet,charter_capital.ending,411.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,45,,1. Vốn góp của chủ sở hữu,pdf_table,,
DVN,2022,FY,cash_flow_statement,revenue.net,1.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,1. Doanh thu bán hàng và cung cấp dịch vụ,pdf_table,,
DVN,2022,FY,cash_flow_statement,cogs.total,11.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,4. Giá vốn hàng bán và dịch vụ cung cấp,pdf_table,,
DVN,2022,FY,cash_flow_statement,gross_profit.total,20.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,pdf_table,,
DVN,2022,FY,cash_flow_statement,financial_income.total,21.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,6. Doanh thu hoạt động tài chính,pdf_table,,
DVN,2022,FY,cash_flow_statement,financial_expense.total,22.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,7. Chi phí tài chính,pdf_table,,
DVN,2022,FY,cash_flow_statement,interest_expense.total,23.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,- Trong đó: Chi phí lãi vay,pdf_table,,
DVN,2022,FY,cash_flow_statement,selling_expense.total,25.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,9. Chi phí bán hàng,pdf_table,,
DVN,2022,FY,cash_flow_statement,admin_expense.total,26.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,10. Chi phí quản lý doanh nghiệp,pdf_table,,
DVN,2022,FY,cash_flow_statement,operating_profit.total,30.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,11. Lợi nhuận thuần từ hoạt động kinh doanh,pdf_table,,
DVN,2022,FY,cash_flow_statement,profit_before_tax.total,50.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,15. Tổng lợi nhuận kế toán trước thuế,pdf_table,,
DVN,2022,FY,cash_flow_statement,net_income.total,60.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,pdf_table,,
DVN,2022,FY,cash_flow_statement,net_income.parent,61.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,19. Lợi nhuận sau thuế công ty mẹ,pdf_table,,
DVN,2022,FY,cash_flow_statement,eps.basic,70.0,vnd,DVN FY2022 Annual Report / Audited Financial Statements,46,,21. Lãi cơ bản trên cổ phiếu,pdf_table,,
DVN,2022,FY,cash_flow_statement,depreciation.total,2.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,"Khấu hao tài sản cố định hữu hình và hao mòn tài sản cố
định vô hình (bao gồm phân bổ lợi thế thương mại)",pdf_table,,
DVN,2022,FY,cash_flow_statement,inventory.ending,10.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,46,,(Tăng)/giảm hàng tồn kho,pdf_table,,
DVN,2022,FY,cash_flow_statement,fixed_assets.ending,21.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,47,,"Tiền chi để mua sắm, xây dựng tài sản cố định",pdf_table,,
DVN,2022,FY,cash_flow_statement,cash_and_equivalents.ending,60.0,vnd_bn,DVN FY2022 Annual Report / Audited Financial Statements,47,,Tiền và tương đương tiền đầu năm,pdf_table,,
